Underlying,FixedRate,TradeId,Counterparty,Quantity,TradeType
OU9AS,0.19,2101,"Marvin, Gleason and Rosenbaum",279951.54,IRSwap
BFM1M,0.60,2102,Jast - Schneider,363908.23,IRSwap
ZBTGN,0.13,2103,Kshlerin and Sons,330471.75,IRSwap
6SPGE,0.04,2104,Kuhic Group,211674.96,IRSwap
A58LT,0.27,2105,"Watsica, Abshire and Schamberger",147139.50,IRSwap
3VFAD,0.03,2106,Mann Group,915851.38,IRSwap
ML6IQ,0.17,2107,"O'Connell, Oberbrunner and Dicki",104661.77,IRSwap
HL6O5,0.59,2108,Mayert - Schimmel,110006.57,IRSwap
YA3WA,0.15,2109,"Skiles, Streich and Stroman",920778.07,IRSwap
CL1OK,0.06,2110,Anderson Group,285646.63,IRSwap
Z1TMA,0.24,2111,Bogisich Inc,510659.30,IRSwap
TSB6N,0.30,2112,Effertz - Kertzmann,967871.00,IRSwap
LKTT4,0.99,2113,Mosciski and Sons,20274.36,IRSwap
RQRCX,0.91,2114,Zieme LLC,528738.34,IRSwap
ITK0H,0.58,2115,Kreiger - Moen,36302.63,IRSwap
ZGN2X,0.42,2116,Stokes Inc,268111.04,IRSwap
3MMW7,0.07,2117,Wunsch LLC,310304.62,IRSwap
TL0EH,0.76,2118,Wintheiser Inc,745965.34,IRSwap
AZBJB,0.10,2119,"Schamberger, Herman and Lindgren",713877.86,IRSwap
ZAXW7,0.67,2120,"Kemmer, Larson and Parisian",508293.90,IRSwap
9GDG8,0.58,2121,"Jaskolski, Marks and Hagenes",609485.48,IRSwap
YLTNA,0.36,2122,Kassulke and Sons,629567.47,IRSwap
2AMPH,0.59,2123,"Willms, Hahn and Lemke",732877.63,IRSwap
YEOPV,0.17,2124,Hansen - Witting,945413.38,IRSwap
8V0P4,0.25,2125,"Strosin, Buckridge and Gleichner",91982.81,IRSwap
RV75R,0.73,2126,"Hackett, Watsica and Kilback",258058.95,IRSwap
OZ65Y,0.43,2127,"Zboncak, Moore and Boyer",472586.95,IRSwap
9NTFL,0.02,2128,Aufderhar Inc,195912.25,IRSwap
1HPMS,0.48,2129,Heathcote - Nolan,20568.03,IRSwap
NZR70,0.51,2130,"Jones, Conn and Brekke",124662.21,IRSwap
C2I8D,0.74,2131,"Greenfelder, Kris and Carter",913739.00,IRSwap
Y2F69,0.56,2132,Quigley and Sons,647694.93,IRSwap
VZ2LN,0.06,2133,Kozey - Rempel,764462.06,IRSwap
15W45,0.65,2134,McDermott LLC,396323.04,IRSwap
AFPHO,0.92,2135,MacGyver Inc,962224.03,IRSwap
MTRC1,0.37,2136,Altenwerth LLC,941373.99,IRSwap
J60LS,0.18,2137,"Turcotte, McKenzie and Hammes",514497.12,IRSwap
SDRHG,0.27,2138,Bashirian LLC,449475.55,IRSwap
7UKS8,0.41,2139,Waelchi - Rempel,734799.91,IRSwap
7YSGQ,0.24,2140,Borer - Sanford,659496.41,IRSwap
Z4HTG,0.98,2141,"Tillman, Torp and Robel",15922.18,IRSwap
VLAPM,0.22,2142,"McCullough, Boyer and Hyatt",982035.67,IRSwap
9Y8TL,0.32,2143,Hudson - Nader,222776.78,IRSwap
ZP8P2,0.96,2144,"Effertz, Mante and Rath",36048.81,IRSwap
98375,0.01,2145,"Keeling, Ortiz and Lakin",680522.93,IRSwap
3SP59,0.00,2146,Kuhic - Ledner,494744.46,IRSwap
OYVV2,1.00,2147,"O'Reilly, Cartwright and Hilpert",527628.20,IRSwap
YPKP0,0.71,2148,Gibson - Marks,960263.93,IRSwap
26JVX,0.53,2149,Dach - Robel,595240.06,IRSwap
RJ45K,0.28,2150,Shanahan - Williamson,933324.32,IRSwap
28YJ5,0.08,2151,Harris Inc,11942.82,IRSwap
GHDRG,0.49,2152,King Inc,290860.78,IRSwap
FPAM7,0.41,2153,Abbott - Weimann,523866.47,IRSwap
H22QI,0.86,2154,Keebler - Cassin,720981.65,IRSwap
E4KOG,0.27,2155,Adams LLC,848303.37,IRSwap
V8EKK,0.36,2156,Herzog LLC,84638.23,IRSwap
PBJTE,0.42,2157,"Halvorson, Hayes and Reynolds",497352.71,IRSwap
E934B,0.14,2158,Gerhold - McKenzie,256208.33,IRSwap
7P1U8,0.67,2159,Cummerata - Walter,244139.34,IRSwap
XOZCP,0.80,2160,Cremin - Crooks,933374.08,IRSwap
I34TH,0.96,2161,Steuber Inc,850306.39,IRSwap
A5EH9,0.98,2162,King and Sons,216190.86,IRSwap
WH3NB,0.73,2163,Pfeffer LLC,731641.08,IRSwap
3S32Q,0.12,2164,Robel and Sons,522028.32,IRSwap
D2WYN,0.77,2165,Effertz - Herzog,288309.28,IRSwap
ICACX,0.02,2166,Lakin Inc,718424.43,IRSwap
OK0Q4,0.51,2167,Kohler and Sons,752090.96,IRSwap
D2B9C,0.85,2168,Harvey Group,157267.77,IRSwap
HRNP0,0.74,2169,Corkery - Altenwerth,558242.51,IRSwap
34PLL,0.81,2170,Ruecker - Conn,699701.56,IRSwap
QXQXC,0.45,2171,Crona Group,135394.87,IRSwap
FVGXA,0.91,2172,Armstrong Group,87097.75,IRSwap
A7218,0.35,2173,"Hand, Renner and Hoppe",22051.16,IRSwap
BVTJ1,0.75,2174,"Ortiz, Lowe and Schumm",444129.58,IRSwap
S198O,0.78,2175,Luettgen - Quigley,471399.90,IRSwap
FF4FQ,0.67,2176,Pouros Group,712203.26,IRSwap
F9ZJK,0.10,2177,"Bosco, Brakus and Hackett",345993.72,IRSwap
OJI5S,0.80,2178,"Tillman, Considine and Will",176575.72,IRSwap
M30VR,0.39,2179,Mante - Huel,976816.10,IRSwap
E4CSA,0.71,2180,"Hermiston, Thiel and Goodwin",452401.01,IRSwap
RR8RK,0.94,2181,Padberg LLC,811597.51,IRSwap
JWDS5,0.96,2182,Torphy - Bernhard,529186.93,IRSwap
I9OQA,0.43,2183,Schuppe - Rath,893712.85,IRSwap
GWS5U,0.35,2184,Hilll and Sons,95936.25,IRSwap
